@RELATION QT2014

@ATTRIBUTE id STRING
@ATTRIBUTE CP_caracteres NUMERIC
@ATTRIBUTE CP_erros NUMERIC
@ATTRIBUTE CL_velLeitura NUMERIC
@ATTRIBUTE PP_velLeitura NUMERIC
@ATTRIBUTE PP_totErros NUMERIC
@ATTRIBUTE PP_eRegulares NUMERIC
@ATTRIBUTE PP_eIrregulares NUMERIC
@ATTRIBUTE PP_ePseudo NUMERIC
@ATTRIBUTE PT_nPalavras NUMERIC

@DATA
SCH0034,128,0,96,155,6,2,3,1,101
SCH0048,54,0,107,113,9,2,3,4,21
SCH0033,45,0,132,134,16,2,7,7,52
SCH0103,33,0,174,193,8,0,6,2,40
SCH0030,66,9,110,179,11,3,3,5,52
SCH0066,79,5,88,180,1,0,1,0,31
SCH0076,101,4,70,146,4,0,2,2,26
SCH0104,90,1,80,103,5,0,2,3,64
SCH0131,52,7,106,164,6,0,4,2,36
SCH0133,71,5,93,122,13,2,7,4,49
SCH0005,51,2,124,170,12,0,8,4,26
SCH0006,68,5,120,195,18,4,5,9,49
SCH0042,86,1,72,130,5,0,2,3,108
SCH0143,86,1,121,195,9,2,5,2,54
SCH0080,94,1,80,154,6,0,5,1,28
SCH0092,69,6,137,150,11,2,5,4,38
SCH0119,142,4,62,132,10,1,4,5,66
SCH0151,30,3,96,455,60,20,20,20,0
SCH0036,54,2,83,141,8,1,4,3,57
SCH0062,162,1,62,128,5,1,1,3,44
SCH0007,47,2,52,1020,50,13,19,18,36
SCH0060,97,2,93,135,16,3,5,8,37
SCH0101,32,6,70,121,8,1,1,6,20
SCH0102,112,11,72,102,9,1,5,3,78
SCH0105,15,2,172,299,17,1,10,6,9
SCH0125,91,2,117,175,7,0,6,1,56
SCH0136,71,5,78,139,13,3,6,4,60
SCH0116,114,0,86,124,10,1,5,4,29
SCH0120,126,0,42,69,1,0,0,1,47
SCH0004,53,3,310,433,45,15,15,15,10
SCH0008,102,1,79,113,5,0,1,4,25
SCH0021,94,3,80,128,15,2,6,7,45
SCH0059,72,1,68,146,8,0,4,4,30
SCH0073,45,6,213,250,15,2,6,7,38
SCH0074,79,3,182,342,19,5,9,5,35
SCH0088,60,6,77,144,22,5,5,12,32
SCH0099,77,1,160,253,14,2,8,4,48
SCH0107,120,5,143,194,16,2,7,7,68
SCH0113,94,2,80,137,8,2,1,5,115
SCH0115,71,1,140,239,12,2,6,4,44
SCH0002,157,0,134,75,2,1,0,1,156
SCH0018,106,0,50,111,17,3,5,9,53
SCH0037,124,5,48,87,2,0,0,2,85
SCH0063,74,4,97,145,42,15,15,12,26
SCH0058,124,0,104,182,9,2,5,2,73
SCH0129,104,4,97,153,4,0,2,2,38
SCH0130,134,5,60,95,0,0,0,0,77
SCH0135,80,4,92,122,26,6,9,11,60
SCH0139,71,3,66,112,4,2,0,2,58
SCH0003,101,6,56,126,3,0,2,1,25
SCH0009,106,6,88,133,6,1,5,0,45
SCH0010,100,1,105,161,4,0,1,3,36
SCH0011,102,5,77,130,11,2,4,5,62
SCH0012,67,2,145,220,7,1,2,4,40
SCH0013,82,1,132,180,21,4,10,7,48
SCH0019,62,1,136,180,5,1,4,0,64
SCH0022,45,4,128,296,9,1,5,3,94
SCH0024,97,3,140,178,6,1,3,2,100
SCH0025,36,2,135,158,29,6,14,9,19
SCH0027,64,3,125,153,8,1,5,2,47
SCH0028,107,3,87,139,3,0,3,0,83
SCH0031,94,2,75,92,5,0,4,1,35
SCH0032,72,1,136,187,5,0,3,2,42
SCH0038,106,6,89,128,11,2,3,6,77
SCH0040,97,8,108,145,19,2,10,7,54
SCH0041,80,4,91,185,7,1,4,2,57
SCH0043,116,4,59,115,1,0,1,0,65
SCH0044,32,1,125,138,7,0,5,2,36
SCH0045,111,4,38,89,9,0,3,6,85
SCH0046,93,11,118,157,17,3,7,7,19
SCH0047,116,1,76,158,0,0,0,0,43
SCH0049,120,17,90,159,19,4,6,9,19
SCH0050,92,5,101,195,10,1,6,3,16
SCH0051,136,11,49,125,4,1,0,3,36
SCH0053,152,6,60,106,5,0,3,2,48
SCH0054,65,2,79,128,15,2,7,6,21
SCH0055,124,1,52,72,3,0,0,3,52
SCH0056,145,2,76,151,2,1,1,0,23
SCH0057,78,5,151,187,8,2,1,5,42
SCH0061,124,10,108,160,14,2,8,4,54
SCH0064,85,21,135,170,10,1,5,4,29
SCH0067,86,3,124,214,10,1,7,2,52
SCH0147,63,3,319,584,14,1,10,3,39
SCH0149,110,7,115,92,16,3,9,4,97
SCH0069,94,10,135,182,35,8,13,14,35
SCH0075,73,3,67,112,13,2,5,6,47
SCH0081,115,5,102,137,4,0,1,3,63
SCH0084,89,2,75,156,15,3,7,5,26
SCH0087,110,9,64,132,14,3,4,7,28
SCH0090,59,4,105,183,13,3,3,7,17
SCH0093,86,3,92,150,7,0,5,2,77
SCH0094,69,3,96,145,9,2,2,5,40
SCH0095,52,1,83,162,13,2,7,4,22
SCH0096,178,5,42,82,4,0,1,3,25
SCH0100,72,3,210,305,17,2,10,5,32
SCH0106,53,3,315,330,13,2,7,4,10
SCH0108,116,11,128,229,23,4,12,7,46
SCH0109,34,2,92,150,11,1,3,7,17
SCH0112,60,5,60,110,2,0,0,2,22
SCH0114,77,3,70,216,5,1,2,2,46
SCH0118,148,2,40,90,4,0,1,3,99
SCH0121,89,6,70,136,12,3,4,5,86
SCH0124,127,7,159,209,10,3,3,4,71
SCH0142,105,5,89,120,6,2,3,1,62
SCH0144,77,4,118,135,10,1,5,4,123
